room_id	host_id	room_type	country	city	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	property_type
11056591	4489388	Shared room	France	Paris	Salpêtrière	62	5.0	2	1.0	57.0	Apartment
13890365	20373915	Shared room	France	Paris	Salpêtrière	18	5.0	2	1.0	43.0	Apartment
13292192	34492350	Shared room	France	Paris	Saint-Fargeau	7	5.0	1	1.0	48.0	Apartment
4725963	2893280	Shared room	France	Paris	Grandes-Carrières	0	0.0	1	1.0	61.0	Apartment
8609610	37149291	Shared room	France	Paris	Auteuil	8	5.0	1	1.0	61.0	Apartment
18209757	84397245	Shared room	France	Paris	Goutte-dOr	3	5.0	2	1.0	42.0	Apartment
19218806	77546369	Shared room	France	Paris	Chaillot	0	0.0	1	1.0	61.0	Guesthouse
14972201	94310309	Shared room	France	Paris	Necker	2	0.0	1	1.0	61.0	Apartment
19233650	134657829	Shared room	France	Paris	Archives	0	0.0	1	1.0	61.0	Apartment
18157794	34906883	Shared room	France	Paris	Batignolles	3	4.5	2	1.0	48.0	Apartment
11619209	58707548	Shared room	France	Paris	Petit-Montrouge	0	0.0	2	1.0	60.0	Apartment
18035441	13132777	Shared room	France	Paris	Porte-Dauphine	13	5.0	1	1.0	44.0	Apartment
15790623	102150847	Shared room	France	Paris	Folie-Méricourt	0	0.0	2	1.0	61.0	Apartment
2360822	1428411	Shared room	France	Paris	Roquette	84	4.5	1	1.0	44.0	Apartment
3180250	589408	Shared room	France	Paris	Hôpital-Saint-Louis	1	0.0	2	1.0	61.0	Apartment
19754520	86876797	Shared room	France	Paris	Bonne-Nouvelle	0	0.0	1	1.0	48.0	Apartment
7262973	34135056	Shared room	France	Paris	Bonne-Nouvelle	65	4.5	3	1.0	42.0	Apartment
12700315	69005577	Shared room	France	Paris	Picpus	69	5.0	2	1.0	44.0	Apartment
1331931	7224564	Shared room	France	Paris	Montparnasse	89	4.0	1	1.0	58.0	Loft
7385893	9760409	Shared room	France	Paris	Saint-Thomas-dAquin	32	4.5	2	1.0	58.0	Apartment
1601137	8533156	Shared room	France	Paris	Necker	62	4.0	2	1.0	48.0	Apartment
18975885	132363856	Shared room	France	Paris	Odeon	1	0.0	2	1.0	48.0	Apartment
19080900	17793475	Shared room	France	Paris	Javel 15Art	0	0.0	4	1.0	61.0	Apartment
19940733	85621659	Shared room	France	Paris	Necker	0	0.0	2	1.0	48.0	Apartment
